post_title,meta:product_tabs_tab_considerations,meta:product_tabs_tab_features,meta:product_tabs_tab_manuals,meta:product_tabs_tab_product_details,meta:product_tabs_tab_specifications,meta:product_tabs_tab_upgrade,meta:product_tabs_tab_video,sku
"Short Bracket - Flange heights 0"" - 3.25"" - Black",,,,,,,,68
"MOTOR, 110V - Mirage, Apex, Paramount","
<div class=""plus-title plus-title-orange""><span class=""plus"">+</span><a name=""consider""><h2 class=""plus-title-text"">Important Considerations</h2></a></div><!-- /.plus-title plus-title-orange --><ul class=""list-arrows""> <li>Failure to secure the lead rail as described on Service Manual will allow the Spring Arms to unexpectantly to extend out possibly causing personal injury and damage the Awning. </li> <li>Important  Note: During installation of the Replacement Motor use the Manual Override procedure outlined in Service Manual ( available online) to open and close the awning.</li> <li>When pulling the Motor out of case, the Service Technician must use care to NOT break  or damage the Motor Cables.</li> <li>When Pulling Motor , DO NOT let the rollbar come out more than 1""; Otherwise the rollbar Idler will disengage from the opposite End Plate. If this occurs, reisnsert the Idler into the End Plate before continuing ( refer to to illustration under Canopy Replacement in Service Manual for Idler description).</li> <li>To test, restore power then extend and retract awning. </li> <li>It will be necessary to adjust the Motor Limits.</li> </ul><!-- /.list-arrows list-arrows-triple --> <br/>
",,,,,,,192
"VERTICAL SENSOR MTG BRKT,APEX",,,,,,,,269
"MOTOR ASSY,LH,FREESTYLE,BLK",,,,,,,,438
"MOTOR ASSY,LH,FREESTYLE,SAT",,,,,,,,439
"MOTOR ASSY,LH,FREESTYLE,WHT",,,,,,,,440
"CONNECTOR ASSY,LEADRAIL,LH",,,,,,,,585
#N/A,,,,,,,,597
"KIT,SWITCH ASSY,ASCP",,,,,,,,606
"ASSY,CONN,CASE,WA",,,,,,,,613
"ASSY,CONN,CASE,OTD",,,,,,,,614
"SWITCH,PWR ON/OFF",,,,,,,,688
"RECEIVER,EOLIS,SOMFY",,,,,,,,689
"Glide Bushing, LH - Mirage",,,,,,,,716
"GEARBOX, MIRAGE, MANUAL",,,,,,,,721
"Quick Mount Bracket Kit - Travel'r, White",,,,,,,,1647
"CONTROL BOX,MTR 1&2,4-AWNING",,,,,,,,14548
"CONTROL BOX,MTR 3&4,4-AWNING",,,,,,,,14549
"Remote, 418 MHz",,,,,,,,14550
"KNUCKLE ASSY,MDL RAIL,INNER,LH",,,,,,,,14565
"KNUCKLE ASSY,MDL RAIL,INNER,RH",,,,,,,,14566
"L-BRACKET,MIDDLE RAIL KNUCKLE",,,,,,,,14567
"COVER,MIDDLE RAIL,BLK",,,,,,,,14578
