Type,SKU,Name,"Meta: _et_pb_old_content","In stock?","Regular price",Images,Parent,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
simple,R001711,"Mounting Shim, 7.5"" x 1"" x 3/16""","Package of one.",1,16.87,,,,,,,,,,,,,,
simple,901008,"Rubber Bumper","",0,0,https://www.carefreeofcolorado.com/images/photos/901008.jpg,,,,,,,,,,,,,
variable,R001110---,"Cap, Channel, Bottom","",1,0,https://www.carefreeofcolorado.com/images/photos/R001110BLK.jpg,,Color,"Black,White",1,0,,,,,,,,
variation,R001110BLK,,,1,21.98,,"R001110---",Color,"Black",1,0,,,,,,,,
variation,R001110WHT,,,1,21.98,,"R001110---",Color,"White",1,0,,,,,,,,
variable,R001111---,"Cap, Channel, Top","",1,0,https://www.carefreeofcolorado.com/images/photos/R001111BLK.jpg,,Color,"Black,White",1,0,,,,,,,,
variation,R001111BLK,,,1,28.22,,"R001111---",Color,"Black",1,0,,,,,,,,
variation,R001111WHT,,,1,28.22,,"R001111---",Color,"White",1,0,,,,,,,,
variable,R001104---,"Motor Assembly","",1,0,,,Color,"Black,White",1,0,,,,,,,,
variation,R001104BLK,,,1,357.52,,"R001104---",Color,"Black",1,0,,,,,,,,
variation,R001104WHT,,,1,357.52,,"R001104---",Color,"White",1,0,,,,,,,,
variable,R001107---,"Idler Assembly","",1,0,,,Color,"Black,White",1,0,,,,,,,,
variation,R001107BLK,,,1,127.35,,"R001107---",Color,"Black",1,0,,,,,,,,
variation,R001107WHT,,,1,127.35,,"R001107---",Color,"White",1,0,,,,,,,,
variable,15--00A,"Roller Tube with Utility Slot","3 1/2"" diameter",1,0,https://www.carefreeofcolorado.com/images/photos/15xx00A view 1.jpg,,,,,,Size,"21' 1"",21' 2"",21' 3"",21' 4"",21' 5"",21' 6"",21' 7"",21' 8"",21' 9"",21'10"",21'11"",22' 0"",22' 1"",22' 2"",22' 3"",22' 4"",22' 5"",22' 6"",22' 7"",22' 8"",22' 9"",22'10"",22'11"",23' 0"",23' 1"",23' 2"",23' 3"",23' 4"",23' 5"",23' 6"",23' 7"",23' 8"",23' 9"",23'10"",23'11"",24' 0"",24' 1"",24' 2"",24' 3"",24' 4"",24' 5"",24' 6"",24' 7"",24' 8"",24' 9"",24'10"",24'11"",25' 0""",1,0,,,,
variation,15UA00A,,,1,0,,"15--00A",,,,,Size,"21' 1""",1,0,,,,
variation,15UB00A,,,1,0,,"15--00A",,,,,Size,"21' 2""",1,0,,,,
variation,15UC00A,,,1,0,,"15--00A",,,,,Size,"21' 3""",1,0,,,,
variation,15UD00A,,,1,0,,"15--00A",,,,,Size,"21' 4""",1,0,,,,
variation,15UE00A,,,1,0,,"15--00A",,,,,Size,"21' 5""",1,0,,,,
variation,15UF00A,,,1,0,,"15--00A",,,,,Size,"21' 6""",1,0,,,,
variation,15UG00A,,,1,0,,"15--00A",,,,,Size,"21' 7""",1,0,,,,
variation,15UH00A,,,1,0,,"15--00A",,,,,Size,"21' 8""",1,0,,,,
variation,15UI00A,,,1,0,,"15--00A",,,,,Size,"21' 9""",1,0,,,,
variation,15UJ00A,,,1,0,,"15--00A",,,,,Size,"21'10""",1,0,,,,
variation,15UK00A,,,1,0,,"15--00A",,,,,Size,"21'11""",1,0,,,,
variation,152200A,,,1,0,,"15--00A",,,,,Size,"22' 0""",1,0,,,,
variation,15VA00A,,,1,0,,"15--00A",,,,,Size,"22' 1""",1,0,,,,
variation,15VB00A,,,1,0,,"15--00A",,,,,Size,"22' 2""",1,0,,,,
variation,15VC00A,,,1,0,,"15--00A",,,,,Size,"22' 3""",1,0,,,,
variation,15VD00A,,,1,0,,"15--00A",,,,,Size,"22' 4""",1,0,,,,
variation,15VE00A,,,1,0,,"15--00A",,,,,Size,"22' 5""",1,0,,,,
variation,15VF00A,,,1,0,,"15--00A",,,,,Size,"22' 6""",1,0,,,,
variation,15VG00A,,,1,0,,"15--00A",,,,,Size,"22' 7""",1,0,,,,
variation,15VH00A,,,1,0,,"15--00A",,,,,Size,"22' 8""",1,0,,,,
variation,15VI00A,,,1,0,,"15--00A",,,,,Size,"22' 9""",1,0,,,,
variation,15VJ00A,,,1,0,,"15--00A",,,,,Size,"22'10""",1,0,,,,
variation,15VK00A,,,1,0,,"15--00A",,,,,Size,"22'11""",1,0,,,,
variation,152300A,,,1,0,,"15--00A",,,,,Size,"23' 0""",1,0,,,,
variation,15WA00A,,,1,0,,"15--00A",,,,,Size,"23' 1""",1,0,,,,
variation,15WB00A,,,1,0,,"15--00A",,,,,Size,"23' 2""",1,0,,,,
variation,15WC00A,,,1,0,,"15--00A",,,,,Size,"23' 3""",1,0,,,,
variation,15WD00A,,,1,0,,"15--00A",,,,,Size,"23' 4""",1,0,,,,
variation,15WE00A,,,1,0,,"15--00A",,,,,Size,"23' 5""",1,0,,,,
variation,15WF00A,,,1,0,,"15--00A",,,,,Size,"23' 6""",1,0,,,,
variation,15WG00A,,,1,0,,"15--00A",,,,,Size,"23' 7""",1,0,,,,
variation,15WH00A,,,1,0,,"15--00A",,,,,Size,"23' 8""",1,0,,,,
variation,15WI00A,,,1,0,,"15--00A",,,,,Size,"23' 9""",1,0,,,,
variation,15WJ00A,,,1,0,,"15--00A",,,,,Size,"23'10""",1,0,,,,
variation,15WK00A,,,1,0,,"15--00A",,,,,Size,"23'11""",1,0,,,,
variation,152400A,,,1,0,,"15--00A",,,,,Size,"24' 0""",1,0,,,,
variation,15XA00A,,,1,0,,"15--00A",,,,,Size,"24' 1""",1,0,,,,
variation,15XB00A,,,1,0,,"15--00A",,,,,Size,"24' 2""",1,0,,,,
variation,15XC00A,,,1,0,,"15--00A",,,,,Size,"24' 3""",1,0,,,,
variation,15XD00A,,,1,0,,"15--00A",,,,,Size,"24' 4""",1,0,,,,
variation,15XE00A,,,1,0,,"15--00A",,,,,Size,"24' 5""",1,0,,,,
variation,15XF00A,,,1,0,,"15--00A",,,,,Size,"24' 6""",1,0,,,,
variation,15XG00A,,,1,0,,"15--00A",,,,,Size,"24' 7""",1,0,,,,
variation,15XH00A,,,1,0,,"15--00A",,,,,Size,"24' 8""",1,0,,,,
variation,15XI00A,,,1,0,,"15--00A",,,,,Size,"24' 9""",1,0,,,,
variation,15XJ00A,,,1,0,,"15--00A",,,,,Size,"24'10""",1,0,,,,
variation,15XK00A,,,1,0,,"15--00A",,,,,Size,"24'11""",1,0,,,,
variation,152500A,,,1,0,,"15--00A",,,,,Size,"25' 0""",1,0,,,,
variable,041223-0--,"Foam Tape","",1,0,https://www.carefreeofcolorado.com/images/photos/041223-005.jpg,,Color,"Black,White",1,0,,,,,,,,
variation,041223-006,,,1,0.6,,"041223-0--",Color,"Black",1,0,,,,,,,,
variation,041223-005,,,1,0.6,,"041223-0--",Color,"White",1,0,,,,,,,,
variable,R060746-00-,"LED, 8mm x 5m, 30LPM, 8"" lead 16'","LED strip (item 1) is sent on a roll and cut to length during installation.",1,0,,,,,,,,,,,Variation,"8"" lead,26"" lead",1,0
variation,R060746-001,,,1,0,,"R060746-00-",,,,,,,,,Variation,"8" lead",1,0
variation,R060746-002,,,1,0,,"R060746-00-",,,,,,,,,Variation,"26" lead",1,0
