Type,SKU,Name,"Meta: _et_pb_old_content","In stock?","Regular price",Images,Parent,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
variable,R001655-00-,"Vertical Support Leg, LH","",1,0,,,,,,,,,,,Variation,"2.44m,3.5m & greater,3m & less",1,0
variation,R001655-003,,,1,73.4,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10120view201-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10120view202-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10120view203-2.jpg","R001655-00-",,,,,,,,,Variation,"2.44m",1,0
variation,R001655-002,,,1,84.71,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-00220view201-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-00220view202-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-00220view203-2.jpg","R001655-00-",,,,,,,,,Variation,"3.5m & greater",1,0
variation,R001655-001,,,1,87.87,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-00120view201-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-00220view202-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-00220view203-2.jpg","R001655-00-",,,,,,,,,Variation,"3m & less",1,0
variable,R001655-10-,"Vertical Support Leg, RH","",1,0,,,,,,,,,,,Variation,"2.44m,3.5m & greater,3m & less",1,0
variation,R001655-103,,,1,73.4,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view201-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view202-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view203-2.jpg","R001655-10-",,,,,,,,,Variation,"2.44m",1,0
variation,R001655-102,,,1,84.71,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view201-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view202-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view203-2.jpg","R001655-10-",,,,,,,,,Variation,"3.5m & greater",1,0
variation,R001655-101,,,1,87.87,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view201-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view202-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view203-2.jpg","R001655-10-",,,,,,,,,Variation,"3m & less",1,0
variable,R001654-00-,"Vertical Support Leg, LH","Original vertical support legs uses a gray flipper latch. Replacement latch kit is R00144. Kit not available if leg has orange flipper latch.",1,0,,,,,,,,,,,Variation,"used with 2.2 meter,used with 2.44 & 2.57 meter,used with 3 meter & up",1,0
variation,R001654-003,,,1,106.68,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view201-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view202-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view203-2.jpg","R001654-00-",,,,,,,,,Variation,"used with 2.2 meter",1,0
variation,R001654-001,,,1,106.68,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view201-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view202-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view203-2.jpg","R001654-00-",,,,,,,,,Variation,"used with 2.44 & 2.57 meter",1,0
variation,R001654-002,,,1,81.59,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view201-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view202-2.jpg,https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/R001655-10320view203-2.jpg","R001654-00-",,,,,,,,,Variation,"used with 3 meter & up",1,0
