Type,SKU,Name,"Meta: _et_pb_old_content","In stock?","Regular price",Images,Parent,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
variable,R001861---,"Inner Left Hand Endcap","",1,0,,,Color,"Black,Satin,White",1,0,,,,,,,,
variation,R001861BLK,,,1,59.34,,"R001861---",Color,"Black",1,0,,,,,,,,
variation,R001861SAT,,,1,59.34,,"R001861---",Color,"Satin",1,0,,,,,,,,
variation,R001861WHT,,,1,59.34,,"R001861---",Color,"White",1,0,,,,,,,,
variable,R001811--------,"Lead Rail","",1,0,,,Color,"Black,Satin,White",1,0,Size,"89.77,90.77,91.77,92.77,93.77,94.77,95.77,96.77,97.77,98.77,99.77,100.77,101.77,102.77,103.77,104.77,105.77,106.77,107.77,108.77,109.77,110.77,111.77,112.77,113.77,114.77,115.77,116.77,117.77,118.77,119.77,120.77,121.77,122.77,123.77,124.77,125.77,126.77,127.77,128.77,129.77,130.77,131.77,132.77,133.77,134.77,135.77,136.77,137.77,138.77,139.77,140.77,141.77,142.77,143.77,144.77,145.77,146.77,147.77,148.77,149.77,150.77,151.77,152.77,153.77,154.77,155.77,156.77,157.77,158.77,159.77,160.77,161.77,162.77,163.77,164.77,165.77,166.77,167.77,168.77,169.77,170.77,171.77,172.77,173.77,174.77,175.77,176.77,177.77,178.77,179.77,180.77,181.77,182.77,183.77,184.77,185.77,186.77,187.77,188.77,189.77,190.77",1,0,Variation,"LED-Inside,LED-Outside,No LED",1,0
variation,R001811B-LI-096,,,0,304.39,,"R001811--------",Color,"Black",1,0,Size,"89.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-097,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"90.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-098,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"91.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-099,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"92.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-100,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"93.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-101,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"94.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-102,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"95.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-103,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"96.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-104,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"97.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-105,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"98.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-106,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"99.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-107,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"100.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-108,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"101.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-109,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"102.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-110,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"103.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-111,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"104.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-112,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"105.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-113,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"106.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-114,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"107.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-115,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"108.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-116,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"109.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-117,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"110.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-118,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"111.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-119,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"112.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-120,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"113.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-121,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"114.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-122,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"115.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-123,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"116.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-124,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"117.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-125,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"118.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-126,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"119.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-127,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"120.77",1,0,Variation,"LED-Inside",1,0
variation,R001811B-LI-128,,,1,304.39,,"R001811--------",Color,"Black",1,0,Size,"121.77",1,0,Variation,"LED-Inside",1,0
