Type,SKU,Name,"Meta: _et_pb_old_content","In stock?","Regular price",Images,Parent,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
simple,R001826,"Gas Shock Kit","",1,40.47,,,,,,,,,,,,,,
simple,R001840,"Kit, Roller Replacement","",1,7.61,,,,,,,,,,,,,,
variable,R001830-00-,"Kit, Hole Plug","pkg of 4",1,0,,,Color,"Black,White",1,0,,,,,,,,
variation,R001830-006,,,1,1.32,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/hole-plug-black-01-6.jpg","R001830-00-",Color,"Black",1,0,,,,,,,,
variation,R001830-005,,,1,1.32,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/hole-plug-white-01-6.jpg","R001830-00-",Color,"White",1,0,,,,,,,,
variable,R001831-00-,"Cover Kit, Motor","Head cover kits include one front cover, one rear cover.",1,0,,,Color,"Black,White",1,0,,,,,,,,
variation,R001831-006,,,1,26.7,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/cover-kit-motor-black-6.jpg","R001831-00-",Color,"Black",1,0,,,,,,,,
variation,R001831-005,,,1,26.7,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/cover-kit-motor-6.jpg","R001831-00-",Color,"White",1,0,,,,,,,,
variable,R001834-00-,"Cover Kit, Idler","Head cover kits include one front cover, one rear cover.",1,0,,,Color,"Black,White",1,0,,,,,,,,
variation,R001834-006,,,1,29.93,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/cover-kit-idler-01-6.jpg","R001834-00-",Color,"Black",1,0,,,,,,,,
variation,R001834-005,,,1,29.93,"https://dev.carefreeofcolorado.com/wp-content/uploads/2022/10/cover-kit-idler-white-6.jpg","R001834-00-",Color,"White",1,0,,,,,,,,
variable,R001835-00-,"Kit, Clip Hole Cover Cap","",1,0,,,Color,"Black,White",1,0,,,,,,,,
